id,customer_message,context,intent,expected_action,notes,suggested_intent,suggested_action
golden-044,Where can I find pricing information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-045,I need help with something unusual,support_author=demo_brand,,,Candidate only; human review required before evaluation.,other,ESCALATE
golden-046,This is an awful experience,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-047,How do I reset my login password?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-048,The order tracking has not updated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-049,I cannot log in to my account,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-050,My password reset email never arrived,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-051,I was charged twice for the same order,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-052,Why did my card get charged a fee?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-053,I want a refund for this purchase,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-054,Can you cancel my subscription?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-055,Where is my order? The delivery is late,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-056,The tracking says delivered but I am missing the package,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-057,The app keeps crashing when I open it,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-058,I see an error when I try to check out,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-059,What plans are available?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-060,How do I update my account information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-061,This service has been terrible and I am frustrated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-062,I am disappointed with the support I received,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-063,I cannot sign in after changing my phone,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-064,My payment failed at checkout,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-065,Can I get my money back?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-066,My package has not arrived yet,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-067,The website is broken for me,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-068,Where can I find pricing information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-069,I need help with something unusual,support_author=demo_brand,,,Candidate only; human review required before evaluation.,other,ESCALATE
golden-070,This is an awful experience,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-071,How do I reset my login password?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-072,The order tracking has not updated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-073,I cannot log in to my account,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-074,My password reset email never arrived,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-075,I was charged twice for the same order,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-076,Why did my card get charged a fee?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-077,I want a refund for this purchase,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-078,Can you cancel my subscription?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-079,Where is my order? The delivery is late,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-080,The tracking says delivered but I am missing the package,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-081,The app keeps crashing when I open it,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-082,I see an error when I try to check out,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-083,What plans are available?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-084,How do I update my account information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-085,This service has been terrible and I am frustrated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-086,I am disappointed with the support I received,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-087,I cannot sign in after changing my phone,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-088,My payment failed at checkout,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-089,Can I get my money back?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-090,My package has not arrived yet,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-091,The website is broken for me,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-092,Where can I find pricing information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-093,I need help with something unusual,support_author=demo_brand,,,Candidate only; human review required before evaluation.,other,ESCALATE
golden-094,This is an awful experience,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-095,How do I reset my login password?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-096,The order tracking has not updated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-097,I cannot log in to my account,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-098,My password reset email never arrived,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-099,I was charged twice for the same order,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-100,Why did my card get charged a fee?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-101,I want a refund for this purchase,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-102,Can you cancel my subscription?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-103,Where is my order? The delivery is late,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-104,The tracking says delivered but I am missing the package,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-105,The app keeps crashing when I open it,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-106,I see an error when I try to check out,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-107,What plans are available?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-108,How do I update my account information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-109,This service has been terrible and I am frustrated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-110,I am disappointed with the support I received,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-111,I cannot sign in after changing my phone,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-112,My payment failed at checkout,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-113,Can I get my money back?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-114,My package has not arrived yet,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-115,The website is broken for me,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-116,Where can I find pricing information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-117,I need help with something unusual,support_author=demo_brand,,,Candidate only; human review required before evaluation.,other,ESCALATE
golden-118,This is an awful experience,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-119,How do I reset my login password?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-120,The order tracking has not updated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-121,I cannot log in to my account,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-122,My password reset email never arrived,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-123,I was charged twice for the same order,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-124,Why did my card get charged a fee?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-125,I want a refund for this purchase,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-126,Can you cancel my subscription?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-127,Where is my order? The delivery is late,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-128,The tracking says delivered but I am missing the package,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-129,The app keeps crashing when I open it,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-130,I see an error when I try to check out,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-131,What plans are available?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-132,How do I update my account information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-133,This service has been terrible and I am frustrated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-134,I am disappointed with the support I received,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-135,I cannot sign in after changing my phone,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-136,My payment failed at checkout,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-137,Can I get my money back?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-138,My package has not arrived yet,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-139,The website is broken for me,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-140,Where can I find pricing information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-141,I need help with something unusual,support_author=demo_brand,,,Candidate only; human review required before evaluation.,other,ESCALATE
golden-142,This is an awful experience,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-143,How do I reset my login password?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-144,The order tracking has not updated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-145,I cannot log in to my account,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-146,My password reset email never arrived,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-147,I was charged twice for the same order,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-148,Why did my card get charged a fee?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-149,I want a refund for this purchase,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-150,Can you cancel my subscription?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-151,Where is my order? The delivery is late,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-152,The tracking says delivered but I am missing the package,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-153,The app keeps crashing when I open it,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-154,I see an error when I try to check out,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-155,What plans are available?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-156,How do I update my account information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-157,This service has been terrible and I am frustrated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-158,I am disappointed with the support I received,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-159,I cannot sign in after changing my phone,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-160,My payment failed at checkout,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-161,Can I get my money back?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-162,My package has not arrived yet,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-163,The website is broken for me,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-164,Where can I find pricing information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-165,I need help with something unusual,support_author=demo_brand,,,Candidate only; human review required before evaluation.,other,ESCALATE
golden-166,This is an awful experience,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-167,How do I reset my login password?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-168,The order tracking has not updated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-169,I cannot log in to my account,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-170,My password reset email never arrived,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-171,I was charged twice for the same order,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-172,Why did my card get charged a fee?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-173,I want a refund for this purchase,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-174,Can you cancel my subscription?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-175,Where is my order? The delivery is late,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-176,The tracking says delivered but I am missing the package,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-177,The app keeps crashing when I open it,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-178,I see an error when I try to check out,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-179,What plans are available?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-180,How do I update my account information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-181,This service has been terrible and I am frustrated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-182,I am disappointed with the support I received,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-183,I cannot sign in after changing my phone,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-184,My payment failed at checkout,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-185,Can I get my money back?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-186,My package has not arrived yet,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-187,The website is broken for me,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-188,Where can I find pricing information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-189,I need help with something unusual,support_author=demo_brand,,,Candidate only; human review required before evaluation.,other,ESCALATE
golden-190,This is an awful experience,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-191,How do I reset my login password?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-192,The order tracking has not updated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-193,I cannot log in to my account,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-194,My password reset email never arrived,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-195,I was charged twice for the same order,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-196,Why did my card get charged a fee?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-197,I want a refund for this purchase,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-198,Can you cancel my subscription?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-199,Where is my order? The delivery is late,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-200,The tracking says delivered but I am missing the package,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
